,site_name,lon,lat,z_pred,ss_pred,z_obs,drift_at_obs,ele (SISAL),ele (iTraCE),dist_nn,residual,PES,|PES| > critical_val,ci
0,Abaco Island cave,-77.16,26.23,-0.07943387537405139,6.642976891485138,-1.9509404252364675,-3.1286748629848375,-45.0,25.372308159508755,790.4064636061545,1.8715065498624162,-0.726122644304169,False,8.480994744883416
1,Bittoo cave,77.7764,30.790299999999995,-8.974295574026437,13.570130949592764,-7.87905712690516,-9.196814143611718,3000.0,2059.7525806528724,2620.906169912228,-1.095238447121277,0.2973148911196121,False,12.121530051989176
2,Botuverá cave,-49.1569,-27.2247,-6.256917596339026,3.961264650774148,-4.396788560754165,-6.547143636772639,180.0,491.9509270705896,302.6232291967474,-1.860129035584861,0.9346007876208814,False,6.54911101797527
3,Bukit Assam cave,114.8,4.03,-7.895906861731438,1.5451108028151048,-7.629461390696373,-9.268707553196586,150.0,344.18292536833656,35.51202586791931,-0.2664454710350652,0.21435248770054627,False,4.090206530052813
4,Buraca Gloriosa,-8.7833,39.5333,-4.563894723654198,6.5058932151119775,-3.5907054080983585,-7.517097399073057,420.0,254.14842971285285,557.0244943402973,-0.9731893155558398,0.38154333099521864,False,8.393032186635052
5,Cango cave,22.2147,-33.3925,-2.0769254617952484,10.711828115822758,-6.094164856125303,-5.822005006557004,687.0,723.9317309858428,1245.2559924176435,4.017239394330055,-1.2274276864968368,False,10.769541667723775
6,Cave C126,113.9,-22.1,-7.08196101725751,11.363577694409473,-6.4980250980676715,-7.8061301604030024,100.0,76.49881126895286,1723.4413388586079,-0.5839359191898383,0.1732238343868084,False,11.092334714643618
7,Cave Without a Name,-98.6208,29.885200000000005,-7.718989944821048,6.176115066532742,-4.594981514553297,-9.341408806575036,377.0,342.3772490975691,760.5050497606256,-3.124008430267751,1.2570556599615357,False,8.177548199828086
8,Cave of the Bells,-110.75,31.75,-10.82067774415467,4.535119241200616,-12.319480061341437,-11.105451503995784,1639.0,1187.853023800812,533.8785762011134,1.498802317186767,-0.7038011962347445,False,7.007446302038022
9,Cold Air cave,29.1833,-24.0,-9.586504919802822,10.622752215297545,-4.497490183043453,-8.93473263838024,1420.0,1059.0845205857313,1245.2559924176435,-5.089014736759369,1.561403623379609,False,10.72467027584953
10,El Condor cave,-77.3,-5.93,-10.095839426252198,6.4408527851424235,-6.756899971681037,-5.667463784077359,860.0,661.581890898128,612.4413230623701,-3.338939454571161,1.315639359341498,False,8.35097357956713
11,Fort Stanton cave,-105.4433,33.5067,-11.988745237880211,4.748605892292526,-9.601953040847738,-12.291615701554841,1864.0,1611.3943920003303,533.8785762011134,-2.3867921970324737,1.0952961114634452,False,7.170484259601804
12,Gempa bumi cave,120.0,-5.0,-3.2484977317372095,7.3738200272423935,-6.390943865283475,-6.048412811487164,140.0,62.45212883545308,1158.3659220669783,3.1424461335462657,-1.157235039831285,False,8.935352498672147
13,Gunung-buda cave (snail shell cave),114.47999999999999,4.02,-7.772471892860648,1.552163500598509,-7.524358750485954,-9.194885502287692,150.0,330.79174532138916,35.51202586791931,-0.24811314237469428,0.19915033247836153,False,4.099530828084864
14,Haozhu cave,109.98330000000001,30.683299999999996,-9.62823479726444,1.8373710723496202,-9.732385402901446,-10.767386968264658,1017.0,793.4463149585913,117.461764008767,0.10415060563700607,-0.07683575488919593,False,4.460297844979349
15,Hollywood cave,171.47,-41.95,-4.966539563493108,2.8531021748610588,-5.025663151114827,-8.361386339496317,100.0,269.3732503552603,162.5774223361686,0.059123587621718876,-0.035002746021250176,False,5.558070941430168
16,Hulu cave,119.17,32.5,-10.062368671824192,8.063868709541111,-7.526611517181573,-10.698153785600823,86.0,125.77264416085197,828.0634577586494,-2.535757154642619,0.8929680810144142,False,9.344092895733365
17,Jaraguá cave,-56.58299999999999,-21.083,-6.923662933835809,7.037480936857098,-6.157934975587358,-6.4143305913310495,570.0,339.039649622459,891.6297858599761,-0.7657279582484513,0.2886462293697485,False,8.729191859421993
18,Jeita cave,35.65,33.95,-5.653651496666696,2.736426595786375,-4.933148558912478,-6.578394491562086,100.0,449.96021389842986,210.83400198882887,-0.720502937754218,0.4355558533912943,False,5.443238010324268
19,Jiuxian cave,109.09999999999998,33.5667,-12.392119359262614,3.5623726740327166,-11.359289133995238,-12.518125286952849,1495.0,1111.2694605973804,245.38036021621377,-1.0328302252673751,0.5472166001068809,False,6.210622018175853
20,Juxtlahuaca cave,-99.2,17.4,-2.259346097319979,9.85915851914364,-7.728640190016465,-5.837888780115577,934.0,837.5998834373452,1389.5361388999718,5.469294092696487,-1.7418524029997628,False,10.33202261191307
